아파트 이름,건축 연도,거래 연도,거래 월,거래 일,보증금(만원),월세(만원),전용 면적(㎡),층수,법정동명
두산,1999,2014,1,9,"25,000",0,59.95,14,창신동
숭인모범103동,2000,2014,1,7,"16,000",0,59.74,5,숭인동
창신쌍용2,1993,2014,1,4,"10,000",50,79.87,2,창신동
현대뜨레비앙,2003,2014,1,1,"1,000",85,36.08,6,익선동
동문상가,1970,2014,1,13,"1,000",60,45.3,6,창신동
MID그린(8동),2002,2014,1,1,"12,000",0,59.94,1,창신동
종로센트레빌,2008,2014,1,7,"39,000",0,114.67,4,숭인동
종로센트레빌,2008,2014,1,28,"27,000",0,59.92,6,숭인동
일성빌라트,1996,2014,1,21,"29,000",0,84.99,5,평창동
광화문스페이스본(101동~105동),2008,2014,1,23,"70,000",0,160.85,14,사직동
롯데낙천대,2001,2014,2,20,"43,000",0,110.53,14,평창동
벽산블루밍평창힐스,2004,2014,2,15,"47,000",0,150.83,2,평창동
건양하늘터,2006,2014,2,22,"6,000",130,84.78,3,명륜1가
창신쌍용1,1992,2014,2,24,"21,000",0,54.7,4,창신동
창신쌍용2,1993,2014,2,4,"22,000",0,79.87,5,창신동
아남1,1995,2014,2,26,"27,000",100,84.9,16,명륜2가
광화문스페이스본(101동~105동),2008,2014,2,15,"40,000",0,97.61,5,사직동
경희궁파크팰리스,2003,2014,2,22,"85,000",0,146.33,12,내수동
창신쌍용2,1993,2014,2,28,"18,000",20,79.87,2,창신동
동대문,1966,2014,2,14,"1,000",45,28.8,3,창신동
창신쌍용1,1992,2014,3,31,"24,500",0,79.87,4,창신동
광화문스페이스본(101동~105동),2008,2014,3,20,"72,000",0,151.81,13,사직동
아남1,1995,2014,3,22,"38,000",0,84.8,5,명륜2가
두산,1999,2014,3,28,"40,000",0,84.9,11,창신동
숭인모범104동,2000,2014,3,7,"13,000",0,59.74,3,숭인동
창신쌍용1,1992,2014,3,4,"24,000",0,79.87,9,창신동
건양하늘터,2006,2014,3,27,"34,000",0,84.78,3,명륜1가
인왕산아이파크,2008,2014,3,18,"53,000",0,114.931,6,무악동
두산,1999,2014,3,30,"21,000",0,84.9,8,창신동
갑을아파트,1997,2014,3,18,"1,000",50,30.46,12,평창동
아남1,1995,2014,4,17,"45,000",0,84.9,3,명륜2가
두산,1999,2014,4,24,"32,000",0,84.9,2,창신동
창신쌍용2,1993,2014,4,25,"26,000",0,106.62,12,창신동
,2008,2014,4,30,"19,000",0,48.887,2,무악동
경희궁파크팰리스,2003,2014,4,7,"75,000",0,146.39,5,내수동
광화문스페이스본(101동~105동),2008,2014,4,16,"55,000",0,95.88,10,사직동
종로센트레빌,2008,2014,4,14,"20,000",0,84.92,10,숭인동
갑을아파트,1997,2014,4,28,"15,000",0,53.33,6,평창동
광화문스페이스본(106동),2008,2014,4,11,"71,000",0,144.52,10,사직동
두산,1999,2014,4,22,"24,000",0,59.95,7,창신동
인왕산아이파크,2008,2014,5,9,"37,000",50,84.858,10,무악동
효성쥬얼리시티,2006,2014,5,31,"26,000",0,106.81,12,인의동
현대뜨레비앙,2003,2014,5,31,"10,000",0,46.64,3,익선동
광화문스페이스본(101동~105동),2008,2014,5,24,"72,000",0,158.99,7,사직동
인왕산아이파크,2008,2014,5,23,"52,000",0,114.931,2,무악동
CS타워,2011,2014,5,10,"1,000",70,22.17,10,충신동
삼전솔하임4차,2014,2014,5,26,"1,000",50,15.09,11,숭인동
인왕산아이파크,2008,2014,5,26,"45,000",0,84.858,15,무악동
창신쌍용1,1992,2014,5,29,"15,000",30,79.87,12,창신동
한빛,1999,2014,5,28,"2,000",110,59.73,2,명륜3가
현대,2000,2014,6,28,"28,000",0,60,5,무악동
창신쌍용2,1993,2014,6,12,"19,000",0,64.66,7,창신동
창신쌍용2,1993,2014,6,28,"26,000",0,106.62,12,창신동
창신쌍용1,1992,2014,6,30,"2,500",0,54.7,6,창신동
삼전솔하임4차,2014,2014,6,5,"9,500",0,15.09,12,숭인동
삼전솔하임4차,2014,2014,6,10,"4,000",25,15.09,14,숭인동
광화문스페이스본(101동~105동),2008,2014,6,9,"73,000",0,158.99,10,사직동
창신쌍용2,1993,2014,6,4,"17,000",0,64.66,2,창신동
종로중흥S클래스,2013,2014,6,2,"3,500",37,17.811,7,숭인동
종로중흥S클래스,2013,2014,6,27,"2,000",45,17.811,8,숭인동
동아,1995,2014,7,26,"22,000",0,59.98,5,교북동
그린,2002,2014,7,7,"11,000",0,45.83,2,창신동
창신쌍용2,1993,2014,7,30,"15,000",30,64.66,12,창신동
롯데캐슬천지인,2004,2014,7,26,"35,000",0,84.95,4,숭인동
창신쌍용2,1993,2014,7,25,"16,000",0,54.7,9,창신동
하이텍하우스,2011,2014,7,29,"8,000",0,21,4,연지동
창신쌍용2,1993,2014,7,16,"18,500",0,79.87,7,창신동
롯데낙천대,2001,2014,7,29,"40,000",0,110.53,2,평창동
일성빌라트,1996,2014,7,18,"20,000",0,59.82,5,평창동
종로센트레빌,2008,2014,7,21,"35,000",0,84.92,10,숭인동
창신쌍용1,1992,2014,8,19,"24,000",0,79.87,7,창신동
종로센트레빌,2008,2014,8,28,"35,000",0,84.92,5,숭인동
종로센트레빌,2008,2014,8,2,"28,000",0,59.92,5,숭인동
종로청계힐스테이트,2009,2014,8,5,"10,000",0,84.9478,11,숭인동
현대,2000,2014,8,16,"20,000",70,84.92,15,무악동
이화에수풀,2014,2014,8,20,"3,000",50,16.98,10,연건동
인왕산아이파크,2008,2014,8,24,"47,000",0,84.858,10,무악동
동문상가,1970,2014,8,5,"1,000",55,43.45,6,창신동
효성쥬얼리시티,2006,2014,8,18,"1,000",210,98.39,13,인의동
인왕산아이파크,2008,2014,8,17,"67,000",0,157.289,5,무악동
종로센트레빌,2008,2014,9,5,"28,000",0,59.92,7,숭인동
동대문,1966,2014,9,20,500,40,28.8,1,창신동
현대뜨레비앙,2003,2014,9,12,"15,000",0,43.98,8,익선동
종로센트레빌,2008,2014,9,23,"35,000",0,84.92,3,숭인동
MID그린(1동),2002,2014,9,25,"13,500",0,59.55,1,창신동
구암하이빌,2002,2014,9,30,"10,000",80,74.56,4,신영동
인왕산아이파크,2008,2014,9,29,"45,000",0,84.858,5,무악동
종로센트레빌,2008,2014,9,22,"29,000",20,84.92,10,숭인동
창신쌍용1,1992,2014,9,30,"25,000",0,79.87,8,창신동
브라운스톤창신,2006,2014,9,13,"32,000",0,84.81,10,창신동
창신쌍용1,1992,2014,10,8,"24,000",0,79.87,9,창신동
창신쌍용2,1993,2014,10,7,"27,000",0,115.53,11,창신동
롯데캐슬로잔,2009,2014,10,31,"85,000",0,190.743,4,평창동
현대뜨레비앙,2003,2014,10,31,"6,000",60,48.54,2,익선동
동아,1995,2014,10,25,"23,000",0,84.28,10,교북동
창신쌍용1,1992,2014,10,1,"10,000",70,79.87,12,창신동
동대문,1966,2014,10,2,500,50,28.8,2,창신동
세종로대우,1994,2014,10,29,"32,000",0,66.96,15,내수동
현대,2000,2014,10,25,"3,000",170,114.9,13,무악동
광화문스페이스본(106동),2008,2014,10,4,"41,000",155,150.4,6,사직동
창신쌍용1,1992,2014,11,16,"22,500",0,54.7,8,창신동
창신쌍용2,1993,2014,11,5,"13,000",35,79.87,1,창신동
창신쌍용2,1993,2014,11,25,"19,000",0,64.66,7,창신동
두산,1999,2014,11,27,"28,000",0,59.95,16,창신동
대보,2003,2014,11,1,"33,000",0,81.97,2,명륜1가
창신쌍용1,1992,2014,11,30,"21,000",0,54.7,10,창신동
광화문스페이스본(101동~105동),2008,2014,11,18,"60,000",0,94.51,12,사직동
광화문스페이스본(101동~105동),2008,2014,11,1,"72,000",0,159.01,4,사직동
현대,2000,2014,11,17,"48,000",0,114.9,16,무악동
삼성,1998,2014,11,22,"28,000",0,84.98,8,평창동
창신쌍용1,1992,2014,12,30,"30,000",0,106.62,2,창신동
숭인상가,1979,2014,12,22,"16,000",0,80.85,5,숭인동
두산,1999,2014,12,3,"28,000",0,59.95,23,창신동
종로센트레빌,2008,2014,12,17,"30,000",0,59.92,4,숭인동
아남1,1995,2014,12,20,"41,000",0,84.8,2,명륜2가
삼전솔하임2차,2012,2014,12,30,500,50,16.67,6,숭인동
종로센트레빌,2008,2014,12,21,"10,000",160,114.67,2,숭인동
인왕산아이파크,2008,2014,12,4,"57,000",0,114.931,2,무악동
종로청계힐스테이트,2009,2014,12,25,"20,000",50,59.9426,12,숭인동
창신쌍용2,1993,2014,12,18,"28,000",0,115.53,10,창신동
창신쌍용2,1993,2015,2,16,"10,000",90,64.66,4,창신동
아남2,1996,2015,2,27,"29,000",0,59.4,2,명륜2가
창신쌍용1,1992,2015,2,28,"20,000",0,54.7,13,창신동
낙원,1968,2015,2,2,"19,000",0,73.59,13,낙원동
광화문스페이스본(101동~105동),2008,2015,2,5,"30,000",150,94.51,5,사직동
롯데캐슬천지인,2004,2015,2,27,"6,000",155,84.95,24,숭인동
광화문스페이스본(101동~105동),2008,2015,2,11,"60,000",0,94.51,4,사직동
무악다온채,2011,2015,2,15,"30,000",20,84.82,3,무악동
광화문스페이스본(101동~105동),2008,2015,2,26,"50,000",0,70.8,12,사직동
인왕산아이파크,2008,2015,2,27,"58,000",0,114.931,5,무악동
현대,2000,2015,3,10,"10,000",90,60,9,무악동
종로센트레빌,2008,2015,3,17,"25,000",60,84.92,8,숭인동
포시즌,2003,2015,3,18,"29,000",0,74.23,5,구기동
종로청계힐스테이트,2009,2015,3,29,"40,000",0,84.9478,20,숭인동
동대문,1966,2015,3,26,"1,000",35,28.79,6,창신동
이화에수풀,2014,2015,3,28,"1,000",80,19.86,12,연건동
창신쌍용2,1993,2015,3,18,"5,000",75,64.66,8,창신동
현대,2000,2015,3,29,"55,000",0,114.9,14,무악동
낙원,1968,2015,3,16,"5,000",100,70.61,12,낙원동
삼전솔하임2차,2012,2015,3,10,"1,000",55,16.67,6,숭인동
두산,1999,2015,4,25,"5,000",80,59.95,8,창신동
창신쌍용2,1993,2015,4,20,"17,000",20,64.66,5,창신동
두산,1999,2015,4,28,"26,000",30,84.9,4,창신동
효자,1999,2015,4,15,"5,000",40,61.49,3,통인동
인왕산2차아이파크,2015,2015,4,14,"50,000",0,84.45,8,무악동
광화문스페이스본(101동~105동),2008,2015,4,24,"85,000",0,160.85,5,사직동
현대,2000,2015,4,5,"42,000",0,84.92,12,무악동
광화문스페이스본(106동),2008,2015,4,29,"50,000",120,144.52,5,사직동
인왕산아이파크,2008,2015,4,10,"42,000",35,84.858,3,무악동
MID그린(8동),2002,2015,4,30,"15,000",0,59.01,1,창신동
종로청계힐스테이트,2009,2015,5,25,"38,000",0,84.9478,16,숭인동
현대,2000,2015,5,28,"31,000",0,60,8,무악동
광화문스페이스본(101동~105동),2008,2015,5,21,"15,000",125,70.8,4,사직동
종로중흥S클래스,2013,2015,5,6,"5,000",35,19.466,11,숭인동
삼전솔하임2차,2012,2015,5,18,0,40,14.69,9,숭인동
인왕산아이파크,2008,2015,5,26,"10,000",165,84.858,4,무악동
창신쌍용2,1993,2015,5,27,"14,000",0,54.7,1,창신동
두산,1999,2015,5,4,"3,000",120,59.95,18,창신동
세종로대우,1994,2015,5,21,"40,000",0,109.91,15,내수동
창신쌍용1,1992,2015,5,20,"26,500",0,79.87,7,창신동
창신쌍용1,1992,2015,6,22,"29,000",0,54.7,9,창신동
창신쌍용1,1992,2015,6,19,"6,000",85,79.87,13,창신동
인왕산아이파크,2008,2015,6,12,"40,000",50,84.858,2,무악동
현대,2000,2015,6,20,"30,000",27,84.92,2,무악동
현대,2000,2015,6,16,"43,500",0,84.92,4,무악동
인왕산아이파크,2008,2015,6,9,"15,000",135,84.858,17,무악동
인왕산2차아이파크,2015,2015,6,27,"51,000",0,84.03,2,무악동
아남1,1995,2015,6,25,"5,000",170,84.8,17,명륜2가
현대,2000,2015,6,27,"45,000",0,84.92,17,무악동
명륜동주상복합아남아파트,1999,2015,6,16,"20,000",60,59.36,7,명륜2가
인왕산아이파크,2008,2015,7,1,"44,000",45,84.858,7,무악동
동일상가,1971,2015,7,15,"10,000",0,84.15,5,숭인동
종로아인스빌,2013,2015,7,30,"1,000",50,12.15,10,숭인동
도시그린빌라,1997,2015,7,1,"8,000",0,44.4,1,숭인동
롯데낙천대,2001,2015,7,21,"30,000",40,84.21,9,평창동
무악다온채,2011,2015,7,1,"30,000",0,84.82,7,무악동
아남1,1995,2015,7,11,"36,000",20,84.9,4,명륜2가
동일상가,1971,2015,7,31,"1,000",45,58.91,4,숭인동
인왕산2차아이파크,2015,2015,7,29,"52,000",0,84.75,7,무악동
인왕산아이파크,2008,2015,7,18,"40,000",85,114.931,7,무악동
롯데낙천대,2001,2015,8,8,"48,000",0,110.53,4,평창동
종로센트레빌,2008,2015,8,10,"35,000",0,59.92,6,숭인동
동대문,1966,2015,8,1,"1,000",50,28.8,2,창신동
인왕산아이파크,2008,2015,8,11,"53,000",0,84.858,5,무악동
현대,2000,2015,8,15,"55,000",0,114.9,10,무악동
종로청계힐스테이트,2009,2015,8,20,"8,000",110,59.9426,13,숭인동
아남1,1995,2015,8,28,"37,000",50,84.9,16,명륜2가
인왕산아이파크,2008,2015,8,26,"10,000",210,114.931,15,무악동
창신쌍용1,1992,2015,8,21,"29,000",0,79.87,7,창신동
인왕산아이파크,2008,2015,8,10,"60,000",0,114.931,1,무악동
인왕산2차아이파크,2015,2015,9,11,"53,600",0,84.0284,13,무악동
현대,2000,2015,9,7,"35,000",30,84.92,3,무악동
갑을아파트,1997,2015,9,15,"1,000",60,30.46,13,평창동
광화문스페이스본(101동~105동),2008,2015,9,2,"40,000",100,108.07,3,사직동
롯데미도파광화문빌딩,1981,2015,9,8,"18,000",50,93.36,8,당주동
삼성,1998,2015,9,28,"17,000",0,59.97,15,평창동
광화문스페이스본(101동~105동),2008,2015,9,15,"55,000",0,94.51,10,사직동
인왕산아이파크,2008,2015,9,23,"25,000",120,84.858,10,무악동
명륜동주상복합아남아파트,1999,2015,9,3,"5,000",75,50.49,4,명륜2가
종로센트레빌,2008,2015,9,25,"20,000",80,59.92,8,숭인동
브라운스톤창신,2006,2015,10,14,"25,000",50,84.67,14,창신동
건양하늘터,2006,2015,10,30,"38,000",0,82.63,8,명륜1가
종로센트레빌,2008,2015,10,6,"36,000",0,59.92,3,숭인동
두산,1999,2015,10,11,"3,000",110,59.95,11,창신동
익성씨티하임,2013,2015,10,19,"6,000",20,14.48,15,숭인동
동대문,1966,2015,10,7,"8,000",10,28.8,5,창신동
인왕산아이파크,2008,2015,10,25,"42,000",0,59.993,8,무악동
동대문,1966,2015,10,3,"5,000",0,28.8,6,창신동
현대,2000,2015,10,13,"5,000",170,114.9,17,무악동
창신쌍용1,1992,2015,10,16,"32,500",0,106.62,4,창신동
효성쥬얼리시티,2006,2015,11,13,"40,000",150,186.17,19,인의동
이화에수풀,2014,2015,11,20,"3,000",75,19.86,4,연건동
경희궁의아침4단지,2004,2015,11,21,"40,000",150,124.17,6,내수동
광화문스페이스본(101동~105동),2008,2015,11,13,"65,000",0,94.51,1,사직동
포시즌,2003,2015,11,21,"35,000",0,98.26,3,구기동
창신쌍용2,1993,2015,11,27,"16,000",70,106.62,5,창신동
브라운스톤창신,2006,2015,11,16,"37,000",0,84.81,7,창신동
인왕산아이파크,2008,2015,11,2,"10,000",160,84.858,15,무악동
인왕산아이파크,2008,2015,11,27,"56,000",0,84.858,12,무악동
롯데미도파광화문빌딩,1981,2015,11,22,"40,000",0,149.92,7,당주동
송림아마레스아파트,2003,2015,12,15,"33,000",0,75.62,5,명륜1가
삼성,1998,2015,12,22,"22,000",0,59.97,7,평창동
창신쌍용2,1993,2015,12,5,"17,000",40,64.66,4,창신동
경희궁의아침3단지,2004,2015,12,28,"77,000",0,149,4,내수동
아남2,1996,2015,12,18,"17,000",60,59.4,4,명륜2가
종로청계힐스테이트,2009,2015,12,16,"35,000",0,59.9426,3,숭인동
현대뜨레비앙,2003,2015,12,9,"18,000",0,45.5,3,익선동
아남1,1995,2015,12,29,"8,100",0,84.9,2,명륜2가
창신쌍용2,1993,2015,12,23,"21,000",20,79.87,8,창신동
광화문스페이스본(101동~105동),2008,2015,12,21,"53,000",80,126.34,4,사직동
창신쌍용1,1992,2016,2,17,"31,000",0,79.87,13,창신동
인왕산아이파크,2008,2016,2,20,"40,000",40,84.858,5,무악동
창신쌍용1,1992,2016,2,27,"21,000",30,54.7,4,창신동
인왕산아이파크,2008,2016,2,19,"53,000",0,84.858,9,무악동
벽산블루밍평창힐스,2004,2016,2,27,"37,000",50,150.83,2,평창동
현대,2000,2016,2,15,"30,000",0,60,8,무악동
종로청계힐스테이트,2009,2016,2,6,"30,000",0,59.9426,1,숭인동
대아파크빌,1998,2016,2,24,"7,000",70,59.22,10,신영동
대아파크빌,1998,2016,2,16,"21,000",0,59.22,14,신영동
삼성,1998,2016,2,25,"12,000",40,59.97,11,평창동
일성빌라트,1996,2016,3,11,"27,000",0,84.99,5,평창동
창신쌍용1,1992,2016,3,11,"32,000",0,79.87,12,창신동
현대뜨레비앙,2003,2016,3,25,"20,000",0,46.64,2,익선동
효성쥬얼리시티,2006,2016,3,31,"37,000",0,84.64,13,인의동
창신쌍용1,1992,2016,3,7,"27,000",0,54.7,6,창신동
동대문,1966,2016,3,13,"1,000",45,28.8,3,창신동
창신쌍용1,1992,2016,3,22,"32,000",0,79.87,11,창신동
두산,1999,2016,3,2,"37,500",0,84.9,9,창신동
인왕산아이파크,2008,2016,3,24,"57,000",0,84.858,8,무악동
롯데캐슬천지인,2004,2016,3,14,"55,000",0,111.73,20,숭인동
효성쥬얼리시티,2006,2016,4,20,"42,000",0,84.64,8,인의동
종로동광모닝스카이,2013,2016,4,7,"2,000",50,15.855,11,숭인동
효성쥬얼리시티,2006,2016,4,6,"38,000",0,92.81,14,인의동
인왕산아이파크,2008,2016,4,22,"42,000",0,84.858,3,무악동
종로동광모닝스카이,2013,2016,4,23,"1,000",55,15.855,12,숭인동
창신쌍용2,1993,2016,4,7,"25,000",0,54.7,4,창신동
인왕산아이파크,2008,2016,4,25,"57,000",0,84.858,11,무악동
삼성,1998,2016,4,7,"8,000",100,84.93,10,평창동
인왕산아이파크,2008,2016,4,25,"57,000",0,84.858,6,무악동
현대,2000,2016,4,13,"38,000",0,60,11,무악동
종로청계힐스테이트,2009,2016,5,14,"25,000",0,59.9426,5,숭인동
삼성,1998,2016,5,31,"27,000",0,84.93,11,평창동
종로유케이201,2013,2016,5,14,"3,000",35,12.01,7,숭인동
숭인모범101동,2000,2016,5,24,"16,000",0,59.65,5,숭인동
롯데캐슬로잔,2009,2016,5,24,"90,000",0,225.857,5,평창동
인왕산아이파크,2008,2016,5,12,"45,000",0,59.993,15,무악동
창신쌍용2,1993,2016,5,21,"25,000",20,79.87,10,창신동
명륜동주상복합아남아파트,1999,2016,5,18,"4,000",100,50.49,4,명륜2가
현대,2000,2016,5,10,"47,000",0,84.92,13,무악동
인왕산아이파크,2008,2016,5,28,"10,000",160,84.858,15,무악동
삼성,1998,2016,6,13,"18,000",0,59.97,3,평창동
종로센트레빌,2008,2016,6,17,"43,000",0,84.92,4,숭인동
삼성,1998,2016,6,25,"25,000",0,59.97,4,평창동
광화문스페이스본(101동~105동),2008,2016,6,14,"58,500",0,108.07,10,사직동
창신쌍용1,1992,2016,6,3,"23,000",20,54.7,4,창신동
삼전솔하임4차,2014,2016,6,16,"1,000",55,15.09,15,숭인동
종로동광모닝스카이,2013,2016,6,29,"1,000",55,15.855,12,숭인동
인왕산아이파크,2008,2016,6,23,"15,000",140,84.858,8,무악동
현대,2000,2016,6,3,"41,500",0,84.92,9,무악동
동대문맨션,1973,2016,6,27,"8,000",70,83.83,6,창신동
두산,1999,2016,7,8,"8,000",132,84.9,6,창신동
종로센트레빌,2008,2016,7,13,"15,000",100,84.92,9,숭인동
창신쌍용2,1993,2016,7,23,"28,000",0,64.66,6,창신동
인왕산아이파크,2008,2016,7,6,"50,000",0,84.858,4,무악동
현대,2000,2016,7,12,"57,000",0,114.9,20,무악동
청운현대,2000,2016,7,23,"45,000",0,68.43,5,청운동
창신이수,2003,2016,7,9,"40,000",0,84.5,8,창신동
창신쌍용1,1992,2016,7,25,"11,000",40,54.7,10,창신동
종로센트레빌,2008,2016,7,2,"38,000",0,59.92,7,숭인동
창신쌍용2,1993,2016,7,16,"28,000",0,64.66,9,창신동
경희궁의아침2단지,2004,2016,8,29,"75,000",40,140.78,4,내수동
인왕산아이파크,2008,2016,8,12,"52,000",30,84.858,14,무악동
인왕산아이파크,2008,2016,8,24,"10,000",155,84.858,8,무악동
종로센트레빌,2008,2016,8,20,"35,000",0,59.92,12,숭인동
인왕산아이파크,2008,2016,8,12,"56,000",0,84.858,14,무악동
현대뜨레비앙,2003,2016,8,19,"22,000",0,46.64,4,익선동
종로동광모닝스카이,2013,2016,8,31,"1,000",55,15.855,14,숭인동
종로청계힐스테이트,2009,2016,8,10,"3,000",125,59.9426,5,숭인동
종로청계힐스테이트,2009,2016,8,20,"30,000",40,84.9478,6,숭인동
종로청계힐스테이트,2009,2016,8,5,"50,000",0,114.7153,10,숭인동
창신쌍용2,1993,2016,9,30,"3,000",115,79.87,4,창신동
숭인모범101동,2000,2016,9,28,"16,000",0,59.7,6,숭인동
창신쌍용1,1992,2016,9,3,"29,000",0,79.87,5,창신동
삼전솔하임2차,2012,2016,9,30,"1,000",55,15,9,숭인동
두산,1999,2016,9,7,"33,000",0,59.95,13,창신동
종로중흥S클래스,2013,2016,9,10,"13,000",0,17.811,15,숭인동
도시그린빌라,1997,2016,9,8,"8,000",0,44.4,6,숭인동
종로청계힐스테이트,2009,2016,9,6,"6,000",95,59.9426,1,숭인동
종로청계힐스테이트,2009,2016,9,22,"17,000",80,59.9426,10,숭인동
명륜동주상복합아남아파트,1999,2016,9,27,"9,000",80,47.43,7,명륜2가
종로센트레빌,2008,2016,10,13,"39,000",0,59.92,11,숭인동
창신쌍용1,1992,2016,10,10,"26,000",0,54.7,6,창신동
두산,1999,2016,10,17,"30,000",0,59.95,23,창신동
두산,1999,2016,10,20,"39,500",0,84.9,12,창신동
창신쌍용2,1993,2016,10,29,"27,000",0,64.66,3,창신동
방산아파트,1995,2016,10,17,"7,000",25,32.53,3,명륜1가
인왕산아이파크,2008,2016,10,11,"52,000",0,84.858,3,무악동
두산,1999,2016,10,26,"33,000",0,59.95,2,창신동
롯데캐슬천지인,2004,2016,10,31,"45,000",0,84.95,18,숭인동
갑을아파트,1997,2016,10,26,"1,000",60,30.46,8,평창동
아남1,1995,2016,11,28,"10,000",0,84.8,17,명륜2가
창신쌍용1,1992,2016,11,30,"5,000",80,54.7,6,창신동
삼전솔하임4차,2014,2016,11,29,"2,000",50,15.09,16,숭인동
창신쌍용1,1992,2016,11,10,"32,000",0,79.87,7,창신동
창신쌍용2,1993,2016,11,14,"23,000",0,54.7,10,창신동
인왕산아이파크,2008,2016,11,5,500,50,84.858,8,무악동
익성씨티하임,2013,2016,11,4,"3,000",37,15.42,13,숭인동
종로센트레빌,2008,2016,11,9,"39,000",0,59.92,11,숭인동
효성쥬얼리시티,2006,2016,11,25,"55,000",0,98.39,12,인의동
명륜동주상복합아남아파트,1999,2016,11,15,"45,000",80,115.05,2,명륜2가
두산,1999,2016,12,7,"34,000",0,59.95,13,창신동
창신쌍용2,1993,2016,12,17,"36,000",0,115.53,14,창신동
두산,1999,2016,12,16,"32,000",0,59.95,5,창신동
창신쌍용2,1993,2016,12,2,"35,000",0,115.53,11,창신동
아남1,1995,2016,12,10,"20,000",100,84.9,18,명륜2가
인왕산2차아이파크,2015,2016,12,1,"55,000",0,84.0284,14,무악동
광화문스페이스본(101동~105동),2008,2016,12,2,"67,000",0,97.61,4,사직동
경희궁의아침3단지,2004,2016,12,9,"40,000",170,149,6,내수동
인왕산아이파크,2008,2016,12,3,"56,000",0,84.858,3,무악동
창신쌍용2,1993,2016,12,15,"30,000",0,79.87,9,창신동
아남1,1995,2017,2,15,"50,000",0,84.8,20,명륜2가
삼성,1998,2017,2,6,"17,000",30,59.97,15,평창동
종로센트레빌,2008,2017,2,15,"45,000",0,84.92,7,숭인동
숭인모범101동,2000,2017,2,7,"14,000",0,57.72,2,숭인동
경희궁자이(2단지),2017,2017,2,28,"68,000",0,84.944,17,교남동
경희궁자이(3단지),2017,2017,2,23,"18,000",140,77.654,3,교남동
경희궁의아침3단지,2004,2017,2,2,"30,000",240,150.48,6,내수동
광화문스페이스본(101동~105동),2008,2017,2,20,"69,000",0,94.51,2,사직동
경희궁의아침3단지,2004,2017,2,2,"30,000",210,150.48,6,내수동
현대,2000,2017,2,6,"48,000",0,84.92,9,무악동
경희궁자이(2단지),2017,2017,3,25,"60,000",0,84.907,19,교남동
현대,2000,2017,3,1,"40,000",0,60,5,무악동
경희궁자이(3단지),2017,2017,3,26,"40,000",40,59.855,12,교남동
경희궁자이(2단지),2017,2017,3,31,"50,000",0,84.836,8,교남동
경희궁자이(2단지),2017,2017,3,31,"70,000",0,84.836,9,교남동
포레스트힐시티,2017,2017,3,25,"2,000",70,18.274,12,효제동
경희궁자이(3단지),2017,2017,3,4,"55,000",0,59.855,2,교남동
경희궁자이(2단지),2017,2017,3,27,"55,000",0,59.855,6,교남동
삼성빌딩,2013,2017,3,4,500,60,14.88,7,경운동
창신쌍용2,1993,2017,3,8,"7,000",55,54.7,2,창신동
경희궁자이(2단지),2017,2017,4,16,"54,800",0,84.614,5,교남동
경희궁자이(2단지),2017,2017,4,3,"60,000",0,84.836,19,교남동
두산,1999,2017,4,18,"8,000",100,59.95,19,창신동
경희궁자이(3단지),2017,2017,4,13,"60,000",0,84.614,5,교남동
블루빌,2017,2017,4,12,"24,500",0,44.56,9,숭인동
경희궁자이(2단지),2017,2017,4,15,"57,000",0,84.836,2,교남동
경희궁자이(2단지),2017,2017,4,22,"59,000",0,84.944,15,교남동
경희궁자이(3단지),2017,2017,4,24,"20,000",110,84.836,10,교남동
경희궁자이(3단지),2017,2017,4,8,"59,000",0,84.614,3,교남동
경희궁자이(3단지),2017,2017,4,9,"55,000",0,59.755,8,교남동
현대,2000,2017,5,22,"40,000",0,60,12,무악동
경희궁자이(2단지),2017,2017,5,29,"60,000",0,84.836,6,교남동
경희궁자이(2단지),2017,2017,5,19,"60,000",0,84.836,11,교남동
경희궁자이(3단지),2017,2017,5,4,"52,000",0,77.654,7,교남동
효성쥬얼리시티,2006,2017,5,1,"38,000",0,84.64,18,인의동
별빛고운,2006,2017,5,8,"23,000",0,71.85,1,부암동
경희궁자이(2단지),2017,2017,5,20,"65,000",0,84.836,17,교남동
인왕산2차아이파크,2015,2017,5,22,"50,000",0,84.4541,8,무악동
광화문스페이스본(101동~105동),2008,2017,5,11,"30,000",100,70.8,10,사직동
경희궁자이(2단지),2017,2017,5,19,"66,000",0,84.836,18,교남동
경희궁자이(2단지),2017,2017,6,10,"56,000",0,59.855,16,교남동
경희궁자이(2단지),2017,2017,6,6,"78,000",0,101.991,1,교남동
경희궁자이(2단지),2017,2017,6,11,"71,000",0,84.836,18,교남동
종로청계힐스테이트,2009,2017,6,8,"38,000",0,59.9426,6,숭인동
현대뜨레비앙,2003,2017,6,10,"20,700",0,46.64,2,익선동
경희궁자이(3단지),2017,2017,6,23,"59,000",0,59.855,16,교남동
경희궁자이(3단지),2017,2017,6,21,"10,000",130,59.755,6,교남동
경희궁자이(2단지),2017,2017,6,7,"30,000",70,59.855,7,교남동
경희궁자이(2단지),2017,2017,6,3,"69,000",0,84.614,1,교남동
숭인상가,1979,2017,6,22,"25,000",0,93.6,7,숭인동
경희궁자이(2단지),2017,2017,7,27,"66,000",0,84.836,15,교남동
경희궁자이(2단지),2017,2017,7,6,"50,000",50,84.614,14,교남동
