년도,월,일,시간,측정지점,소음도,비고
2018,11,7,11,성수동,73.0,
2018,11,7,12,성수동,73.0,
2018,11,7,13,성수동,72.8,
2018,11,7,14,성수동,72.7,
2018,11,7,15,성수동,72.8,
2018,11,7,16,성수동,72.6,
2018,11,7,17,성수동,72.5,
2018,11,7,18,성수동,72.2,
2018,11,7,19,성수동,69.7,
2018,11,7,20,성수동,72.3,
2018,11,7,21,성수동,72.0,
2018,11,7,22,성수동,71.8,
2018,11,7,23,성수동,71.6,
2018,11,7,24,성수동,71.0,
2018,11,8,1,성수동,69.8,
2018,11,8,2,성수동,70.1,
2018,11,8,3,성수동,69.1,
2018,11,8,4,성수동,68.9,
2018,11,8,5,성수동,69.1,
2018,11,8,6,성수동,71.0,
2018,11,8,7,성수동,72.4,
2018,11,8,8,성수동,74.2,
2018,11,8,9,성수동,75.1,
2018,11,8,10,성수동,74.9,
2018,11,8,11,성수동,75.6,
2018,11,8,12,성수동,75.9,
2018,11,8,13,성수동,76.0,
2018,11,8,14,성수동,76.5,
2018,11,8,15,성수동,75.0,
2018,11,8,16,성수동,74.0,
2018,11,8,17,성수동,76.4,
2018,11,8,18,성수동,76.4,
2018,11,8,19,성수동,73.8,
2018,11,8,20,성수동,76.1,
2018,11,8,21,성수동,75.5,
2018,11,8,22,성수동,76.1,
2018,11,8,23,성수동,75.8,
2018,11,8,24,성수동,74.4,
2018,11,9,1,성수동,71.5,
2018,11,9,2,성수동,70.3,
2018,11,9,3,성수동,69.5,
2018,11,9,4,성수동,68.6,
2018,11,9,5,성수동,68.9,
2018,11,9,6,성수동,72.3,
2018,11,9,7,성수동,72.2,
2018,11,9,8,성수동,73.8,
2018,11,9,9,성수동,74.0,
2018,11,9,10,성수동,73.6,
2018,11,9,11,성수동,73.5,
2018,11,9,12,성수동,73.1,
2018,11,9,13,성수동,73.2,
2018,11,9,14,성수동,73.2,
2018,11,9,15,성수동,73.4,
2018,11,9,16,성수동,72.9,
2018,11,9,17,성수동,72.9,
2018,11,9,18,성수동,72.4,
2018,11,9,19,성수동,70.1,
2018,11,9,20,성수동,70.6,
2018,11,9,21,성수동,73.0,
2018,11,9,22,성수동,72.7,
2018,11,9,23,성수동,72.6,
2018,11,9,24,성수동,72.0,
2018,11,10,1,성수동,71.1,
2018,11,10,2,성수동,70.5,
2018,11,10,3,성수동,70.2,
2018,11,10,4,성수동,69.1,
2018,11,10,5,성수동,69.2,
2018,11,10,6,성수동,70.1,
2018,11,10,7,성수동,71.1,
2018,11,10,8,성수동,72.3,
2018,11,10,9,성수동,73.4,
2018,11,10,10,성수동,73.3,
2018,11,10,11,성수동,73.4,
2018,11,10,12,성수동,73.4,
2018,11,10,13,성수동,73.2,
2018,11,10,14,성수동,72.8,
2018,11,10,15,성수동,73.2,
2018,11,10,16,성수동,73.3,
2018,11,10,17,성수동,73.2,
2018,11,10,18,성수동,73.1,
2018,11,10,19,성수동,73.0,
2018,11,10,20,성수동,72.7,
2018,11,10,21,성수동,72.1,
2018,11,10,22,성수동,71.9,
2018,11,10,23,성수동,71.6,
2018,11,10,24,성수동,71.2,
2018,11,11,1,성수동,70.7,
2018,11,11,2,성수동,69.6,
2018,11,11,3,성수동,69.3,
2018,11,11,4,성수동,68.1,
2018,11,11,5,성수동,67.7,
2018,11,11,6,성수동,67.6,
2018,11,11,7,성수동,68.3,
2018,11,11,8,성수동,70.2,
2018,11,11,9,성수동,70.7,
2018,11,11,10,성수동,71.6,
2018,11,11,11,성수동,72.3,
2018,11,11,12,성수동,72.1,
2018,11,11,13,성수동,72.4,
2018,11,11,14,성수동,72.3,
2018,11,11,15,성수동,72.2,
2018,11,11,16,성수동,72.3,
2018,11,11,17,성수동,72.1,
2018,11,11,18,성수동,72.0,
2018,11,11,19,성수동,71.5,
2018,11,11,20,성수동,71.3,
2018,11,11,21,성수동,70.9,
2018,11,11,22,성수동,70.6,
2018,11,11,23,성수동,70.7,
2018,11,11,24,성수동,70.5,
2018,11,12,1,성수동,69.5,
2018,11,12,2,성수동,67.2,
2018,11,12,3,성수동,65.9,
2018,11,12,4,성수동,65.2,
2018,11,12,5,성수동,66.0,
2018,11,12,6,성수동,68.7,
2018,11,12,7,성수동,71.4,
2018,11,12,8,성수동,73.0,
2018,11,12,9,성수동,72.7,
2018,11,12,10,성수동,72.7,
2018,11,12,11,성수동,72.4,
2018,11,12,12,성수동,72.4,
2018,11,12,13,성수동,72.1,
2018,11,12,14,성수동,72.3,
2018,11,12,15,성수동,72.3,
2018,11,12,16,성수동,72.4,
2018,11,12,17,성수동,72.5,
2018,11,12,18,성수동,72.3,
2018,11,12,19,성수동,71.0,
2018,11,12,20,성수동,72.2,
2018,11,12,21,성수동,71.9,
2018,11,12,22,성수동,71.8,
2018,11,12,23,성수동,71.4,
2018,11,12,24,성수동,71.1,
2018,11,13,1,성수동,69.8,
2018,11,13,2,성수동,68.7,
2018,11,13,3,성수동,67.7,
2018,11,13,4,성수동,67.5,
2018,11,13,5,성수동,66.7,
2018,11,13,6,성수동,69.2,
2018,11,13,7,성수동,71.0,
2018,11,13,8,성수동,73.0,
2018,11,13,9,성수동,72.6,
2018,11,13,10,성수동,72.6,
2018,11,13,11,성수동,72.4,
2018,11,13,12,성수동,72.2,
2018,11,13,13,성수동,72.0,
2018,11,13,14,성수동,71.9,
2018,11,13,15,성수동,72.4,
2018,11,13,16,성수동,73.1,
2018,11,13,17,성수동,72.1,
2018,11,13,18,성수동,72.2,
2018,11,13,19,성수동,71.9,
2018,11,13,20,성수동,72.3,
2018,11,13,21,성수동,71.6,
2018,11,13,22,성수동,71.6,
2018,11,13,23,성수동,71.5,
2018,11,13,24,성수동,71.0,
2018,11,14,1,성수동,70.2,
2018,11,14,2,성수동,69.2,
2018,11,14,3,성수동,67.5,
2018,11,14,4,성수동,67.2,
2018,11,14,5,성수동,66.6,
2018,11,14,6,성수동,68.7,
2018,11,14,7,성수동,71.4,
2018,11,14,8,성수동,72.9,
2018,11,14,9,성수동,72.8,
2018,11,14,10,성수동,72.7,
2018,11,14,11,성수동,72.6,
2018,11,14,12,성수동,72.7,
2018,11,14,13,성수동,72.1,
2018,11,14,14,성수동,71.7,
2018,11,14,15,성수동,72.1,
2018,11,14,16,성수동,72.3,
2018,11,14,17,성수동,71.9,
2018,11,14,18,성수동,71.9,
2018,11,14,19,성수동,69.8,
2018,11,14,20,성수동,72.3,
2018,11,14,21,성수동,72.0,
2018,11,14,22,성수동,71.8,
2018,11,14,23,성수동,71.4,
2018,11,14,24,성수동,71.2,
2018,11,15,1,성수동,70.0,
