아파트 이름,거래 금액(만원),거래 연도,거래 월,거래 일,전용 면적(㎡),층수,법정동명,도로명 주소
현대,"63,935",2014,1,22,114.9,10,무악동,통일로
광화문스페이스본(101동~105동),"90,000",2014,1,21,151.81,2,사직동,사직로8길
효성쥬얼리시티,"47,000",2014,1,23,84.98,7,인의동,종로
현대,"57,800",2014,1,29,114.9,10,무악동,통일로
광화문스페이스본(101동~105동),"73,000",2014,1,29,94.51,8,사직동,사직로8길
광화문스페이스본(106동),"135,000",2014,1,17,153.42,10,사직동,경희궁길
경희궁의아침3단지,"114,000",2014,1,23,150.48,7,내수동,사직로8길
인왕산아이파크,"59,800",2014,1,28,84.858,16,무악동,통일로18길
대아파크빌,"25,000",2014,1,28,59.22,14,신영동,진흥로
아남1,"55,000",2014,1,21,84.9,18,명륜2가,창경궁로
광화문스페이스본(106동),"110,000",2014,2,27,163.33,1,사직동,경희궁길
신문로맨션,"49,500",2014,2,28,98.31,8,신문로1가,새문안로3길
두산,"28,000",2014,2,17,59.95,1,창신동,지봉로5길
창신쌍용2,"24,500",2014,2,10,64.66,3,창신동,낙산길
건양하늘터,"43,500",2014,2,11,84.78,1,명륜1가,혜화로9길
두산,"35,400",2014,2,24,59.95,4,창신동,지봉로5길
창신쌍용2,"25,400",2014,2,19,54.7,9,창신동,낙산길
인왕산아이파크,"72,000",2014,2,28,114.931,5,무악동,통일로18길
아남1,"55,000",2014,2,22,84.9,7,명륜2가,창경궁로
창신쌍용2,"30,000",2014,2,21,79.87,6,창신동,낙산길
창신쌍용1,"32,400",2014,3,25,79.87,9,창신동,동망산길
두산,"36,350",2014,3,14,59.95,9,창신동,지봉로5길
일우,"23,500",2014,3,28,59.3,2,창신동,창신길
종로청계힐스테이트,"38,500",2014,3,29,59.9426,12,숭인동,숭인동길
하림빌라트,"15,000",2014,3,14,30.41,5,숭인동,숭인동길
경희궁의아침4단지,"109,000",2014,3,28,150.77,11,내수동,새문안로3길
현대,"46,950",2014,3,30,84.92,3,무악동,통일로
광화문스페이스본(101동~105동),"72,000",2014,3,18,94.28,3,사직동,사직로8길
창신쌍용2,"24,450",2014,3,28,54.7,12,창신동,낙산길
광화문스페이스본(101동~105동),"71,000",2014,3,13,94.28,5,사직동,사직로8길
광화문스페이스본(106동),"99,000",2014,4,23,153.42,1,사직동,경희궁길
창신쌍용2,"29,500",2014,4,23,79.87,3,창신동,낙산길
인왕산아이파크,"59,800",2014,4,18,84.858,13,무악동,통일로18길
광화문스페이스본(101동~105동),"69,500",2014,4,21,94.51,7,사직동,사직로8길
롯데미도파광화문빌딩,"29,800",2014,4,18,65.82,7,당주동,세종대로23길
현대,"52,950",2014,4,26,84.92,15,무악동,통일로
현대,"52,850",2014,4,11,84.92,21,무악동,통일로
창신쌍용2,"23,400",2014,4,14,54.7,13,창신동,낙산길
종로센트레빌,"48,000",2014,4,24,84.92,7,숭인동,동망산길
두산,"35,500",2014,4,8,59.95,10,창신동,지봉로5길
종로센트레빌,"36,000",2014,5,24,59.92,4,숭인동,동망산길
현대,"54,490",2014,5,13,84.92,10,무악동,통일로
삼성,"28,400",2014,5,2,59.97,4,평창동,평창문화로
롯데낙천대,"42,500",2014,5,29,87.27,4,평창동,평창문화로
현대,"44,950",2014,5,28,84.92,5,무악동,통일로
종로센트레빌,"39,200",2014,5,26,59.92,9,숭인동,동망산길
건양하늘터,"44,200",2014,5,19,84.89,1,명륜1가,혜화로9길
인왕산아이파크,"62,500",2014,5,30,84.858,10,무악동,통일로18길
동문(482-0),"30,100",2014,5,12,59.64,3,숭인동,숭인동길
현대뜨레비앙,"20,000",2014,5,31,43.98,6,익선동,돈화문로11가길
인왕산아이파크,"54,000",2014,6,28,84.858,1,무악동,통일로18길
현대,"49,990",2014,6,17,114.9,1,무악동,통일로
종로센트레빌,"36,300",2014,6,4,59.92,3,숭인동,동망산길
종로청계힐스테이트,"51,450",2014,6,27,84.9478,11,숭인동,숭인동길
두산,"36,000",2014,6,2,59.95,5,창신동,지봉로5길
광화문스페이스본(101동~105동),"96,000",2014,6,14,126.34,7,사직동,사직로8길
도시그린빌라,"21,500",2014,6,7,57.45,3,숭인동,숭인동1길
송림아마레스아파트,"44,000",2014,6,25,84.62,4,명륜1가,성균관로17길
현대,"52,450",2014,6,24,84.92,15,무악동,통일로
인왕산아이파크,"52,500",2014,6,28,84.858,1,무악동,통일로18길
두산,"48,000",2014,7,23,84.9,5,창신동,지봉로5길
숭인한양LEEPS,"11,900",2014,7,31,12.78,8,숭인동,난계로29가길
부암스카이뷰,"34,300",2014,7,28,81.08,5,부암동,창의문로
창신쌍용1,"35,500",2014,7,31,79.87,4,창신동,동망산길
현대,"38,400",2014,7,19,60,13,무악동,통일로
롯데낙천대,"79,500",2014,7,22,133.34,14,평창동,평창문화로
인왕산아이파크,"57,500",2014,7,9,84.858,3,무악동,통일로18길
경희궁의아침3단지,"119,000",2014,7,21,149,13,내수동,사직로8길
현대,"53,970",2014,7,5,114.9,3,무악동,통일로
인왕산아이파크,"59,000",2014,7,3,84.858,9,무악동,통일로18길
부암스카이뷰,"34,300",2014,8,23,81,4,부암동,창의문로
경희궁파크팰리스,"89,500",2014,8,29,103.77,13,내수동,사직로8길
현대,"47,900",2014,8,30,84.92,12,무악동,통일로
MID그린(7동),"23,700",2014,8,25,59.04,1,창신동,창신길
현대,"58,000",2014,8,30,84.92,14,무악동,통일로
광화문스페이스본(101동~105동),"74,500",2014,8,18,94.51,7,사직동,사직로8길
인왕산아이파크,"59,500",2014,8,23,84.858,4,무악동,통일로18길
롯데낙천대,"47,500",2014,8,25,87.27,7,평창동,평창문화로
브라운스톤창신,"43,300",2014,8,18,84.81,7,창신동,지봉로
현대,"48,950",2014,8,21,84.92,4,무악동,통일로
롯데캐슬천지인,"50,000",2014,9,30,84.95,24,숭인동,종로
두산,"35,000",2014,9,30,59.95,19,창신동,지봉로5길
창신쌍용1,"32,500",2014,9,30,79.87,10,창신동,동망산길
현대,"58,750",2014,9,23,114.9,4,무악동,통일로
두산,"35,200",2014,9,20,59.95,20,창신동,지봉로5길
인왕산아이파크,"60,000",2014,9,30,84.858,12,무악동,통일로18길
경희궁의아침4단지,"110,000",2014,9,24,124.17,12,내수동,새문안로3길
종로센트레빌,"48,000",2014,9,28,84.92,10,숭인동,동망산길
종로청계힐스테이트,"38,950",2014,9,24,59.9426,7,숭인동,숭인동길
로얄팰리스스위트,"28,500",2014,9,13,29.31,12,수송동,율곡로2길
광화문스페이스본(101동~105동),"69,000",2014,10,31,94.51,1,사직동,사직로8길
창신이수,"50,000",2014,10,30,120.84,1,창신동,지봉로
대보,"43,000",2014,10,29,81.97,4,명륜1가,혜화로5길
인왕산아이파크,"60,000",2014,10,21,84.858,6,무악동,통일로16길
롯데캐슬로잔,"160,000",2014,10,30,225.857,3,평창동,평창문화로
인왕산아이파크,"63,400",2014,10,13,84.858,12,무악동,통일로18길
광화문스페이스본(101동~105동),"74,000",2014,10,14,95.88,8,사직동,사직로8길
창신쌍용2,"26,500",2014,10,22,64.66,10,창신동,낙산길
현대,"51,750",2014,10,22,84.92,6,무악동,통일로
현대,"45,450",2014,10,22,84.92,10,무악동,통일로
현대,"35,990",2014,11,24,60,8,무악동,통일로
광화문스페이스본(101동~105동),"70,700",2014,11,27,94.28,2,사직동,사직로8길
현대,"53,990",2014,11,29,84.92,9,무악동,통일로
현대,"44,490",2014,11,23,84.92,1,무악동,통일로
두산,"49,000",2014,11,29,84.9,17,창신동,지봉로5길
광화문스페이스본(101동~105동),"72,000",2014,11,15,94.51,5,사직동,사직로8길
현대,"37,990",2014,11,29,60,6,무악동,통일로
인왕산아이파크,"104,500",2014,11,27,157.289,17,무악동,통일로18길
MID그린(9동),"19,800",2014,11,15,59.9,6,창신동,창신길
광화문스페이스본(101동~105동),"115,000",2014,11,29,160.85,6,사직동,사직로8길
두산,"48,000",2014,12,8,84.9,2,창신동,지봉로5길
광화문스페이스본(101동~105동),"99,500",2014,12,27,160.85,1,사직동,사직로8길
삼성,"29,900",2014,12,25,59.97,10,평창동,평창문화로
창신쌍용1,"33,000",2014,12,15,79.87,7,창신동,동망산길
종로청계힐스테이트,"42,000",2014,12,30,59.9426,9,숭인동,숭인동길
창신쌍용1,"33,500",2014,12,30,79.87,12,창신동,동망산길
창신쌍용2,"24,000",2014,12,29,64.66,1,창신동,낙산길
종로센트레빌,"46,500",2014,12,27,84.92,3,숭인동,동망산길
광화문스페이스본(101동~105동),"113,000",2014,12,15,146.92,9,사직동,사직로8길
현대뜨레비앙,"41,500",2014,12,23,58.78,7,익선동,돈화문로11가길
신동아블루아광화문의꿈,"74,000",2015,2,25,111.97,11,필운동,사직로
광화문스페이스본(101동~105동),"76,500",2015,2,25,94.28,9,사직동,사직로8길
종로센트레빌,"38,500",2015,2,27,59.92,3,숭인동,동망산길
창신쌍용1,"27,900",2015,2,14,54.7,11,창신동,동망산길
창신쌍용2,"26,000",2015,2,14,64.66,4,창신동,낙산길
창신쌍용2,"40,000",2015,2,13,106.62,4,창신동,낙산길
효성쥬얼리시티,"51,500",2015,2,10,84.98,16,인의동,종로
인왕산아이파크,"66,700",2015,2,26,84.858,13,무악동,통일로18길
종로센트레빌,"47,000",2015,2,25,84.92,12,숭인동,동망산길
종로센트레빌,"49,000",2015,2,26,84.92,8,숭인동,동망산길
창신이수,"44,500",2015,3,25,84.5,18,창신동,지봉로
창신쌍용1,"27,000",2015,3,28,54.7,6,창신동,동망산길
종로청계힐스테이트,"41,600",2015,3,26,59.9426,3,숭인동,숭인동길
현대,"49,350",2015,3,16,84.92,9,무악동,통일로
벽산블루밍평창힐스,"85,500",2015,3,28,150.94,2,평창동,평창문화로
종로센트레빌,"58,000",2015,3,9,114.67,1,숭인동,동망산길
현대,"50,950",2015,3,31,84.92,7,무악동,통일로
아미레스아파트,"40,700",2015,3,27,73.17,7,명륜1가,혜화로5길
현대,"36,950",2015,3,23,60,6,무악동,통일로
흥인,"18,000",2015,3,31,56.88,2,창신동,창신길
현대,"37,490",2015,4,30,60,10,무악동,통일로
명륜동주상복합아남아파트,"33,700",2015,4,25,44.37,8,명륜2가,혜화로3길
현대,"45,990",2015,4,28,84.92,2,무악동,통일로
창신쌍용2,"25,500",2015,4,29,54.7,8,창신동,낙산길
광화문스페이스본(101동~105동),"105,000",2015,4,22,159.01,11,사직동,사직로8길
현대,"55,970",2015,4,24,84.92,14,무악동,통일로
롯데낙천대,"47,500",2015,4,24,84.21,2,평창동,평창문화로
종로청계힐스테이트,"41,600",2015,4,10,59.9426,3,숭인동,숭인동길
종로센트레빌,"40,500",2015,4,27,59.92,11,숭인동,동망산길
창신쌍용2,"27,800",2015,4,23,64.66,10,창신동,낙산길
킹스매너,"142,000",2015,5,22,210.15,7,내수동,경희궁2길
대성스카이렉스,"75,000",2015,5,29,116.03,8,견지동,삼봉로
롯데캐슬로잔,"161,000",2015,5,27,219.775,3,평창동,평창문화로
광화문스페이스본(101동~105동),"80,000",2015,5,21,94.51,12,사직동,사직로8길
창신이수,"46,000",2015,5,28,84.5,11,창신동,지봉로
현대,"67,790",2015,5,18,114.9,18,무악동,통일로
현대,"40,290",2015,5,22,60,14,무악동,통일로
운현신화타워,"49,000",2015,5,13,97.03,7,익선동,삼일대로32길
창신쌍용2,"43,000",2015,5,7,115.53,8,창신동,낙산길
광화문스페이스본(101동~105동),"102,000",2015,5,23,151.81,8,사직동,사직로8길
광화문스페이스본(101동~105동),"122,000",2015,6,29,136.4,8,사직동,사직로8길
광화문스페이스본(101동~105동),"104,000",2015,6,30,146.92,1,사직동,사직로8길
경희궁의아침3단지,"109,500",2015,6,26,124.17,16,내수동,사직로8길
창신쌍용1,"41,400",2015,6,27,106.62,6,창신동,동망산길
광화문스페이스본(101동~105동),"104,000",2015,6,23,146.92,1,사직동,사직로8길
인왕산아이파크,"58,800",2015,6,28,84.858,4,무악동,통일로18길
현대,"59,950",2015,6,29,114.9,15,무악동,통일로
현대,"62,950",2015,6,28,114.9,10,무악동,통일로
현대,"59,200",2015,6,20,114.9,4,무악동,통일로
아남1,"59,500",2015,6,27,84.9,5,명륜2가,창경궁로
광화문스페이스본(101동~105동),"82,500",2015,7,22,97.61,9,사직동,사직로8길
대성아파트,"12,800",2015,7,30,45.39,6,행촌동,사직로
창신쌍용2,"28,600",2015,7,18,64.66,11,창신동,낙산길
현대,"55,970",2015,7,24,84.92,8,무악동,통일로
현대,"49,970",2015,7,13,84.92,14,무악동,통일로
창신쌍용2,"28,550",2015,7,24,64.66,14,창신동,낙산길
두산,"37,500",2015,7,8,59.95,15,창신동,지봉로5길
두산,"38,900",2015,7,28,59.95,21,창신동,지봉로5길
크래스빌,"68,000",2015,7,6,175.81,2,평창동,평창24길
현대,"58,950",2015,7,6,84.92,15,무악동,통일로
두산,"51,500",2015,8,26,84.9,11,창신동,지봉로5길
현대,"41,690",2015,8,25,60,5,무악동,통일로
광화문스페이스본(106동),"110,000",2015,8,29,150.4,5,사직동,경희궁길
창신쌍용1,"29,700",2015,8,15,54.7,10,창신동,동망산길
아남1,"61,500",2015,8,22,84.9,7,명륜2가,창경궁로
현대,"56,400",2015,8,22,84.92,5,무악동,통일로
창신쌍용2,"33,000",2015,8,17,79.87,4,창신동,낙산길
창신쌍용2,"29,800",2015,8,25,64.66,13,창신동,낙산길
숭인모범103동,"24,500",2015,8,12,59.74,5,숭인동,숭인동2길
롯데낙천대,"65,500",2015,8,24,110.53,3,평창동,평창문화로
대성아파트,"12,900",2015,9,19,45.39,7,행촌동,사직로
세종로대우,"41,000",2015,9,25,66.96,14,내수동,새문안로3길
두산,"52,500",2015,9,24,84.9,16,창신동,지봉로5길
창신쌍용1,"30,700",2015,9,29,54.7,10,창신동,동망산길
숭인상가,"31,000",2015,9,21,78.75,8,숭인동,청계천로
창신쌍용1,"43,000",2015,9,24,106.62,11,창신동,동망산길
숭인한양LEEPS,"11,000",2015,9,25,12.78,10,숭인동,난계로29가길
롯데캐슬로잔,"164,500",2015,9,25,219.775,3,평창동,평창문화로
운현신화타워,"25,500",2015,9,10,50.41,11,익선동,삼일대로32길
인왕산아이파크,"60,000",2015,9,25,84.858,6,무악동,통일로18길
삼성,"35,800",2015,10,29,84.93,2,평창동,평창문화로
크래스빌,"73,000",2015,10,31,187.9,5,평창동,평창24길
갑을아파트,"14,300",2015,10,27,30.46,9,평창동,평창문화로
숭인상가,"34,000",2015,10,27,80.85,6,숭인동,청계천로
대보,"53,000",2015,10,13,81.97,4,명륜1가,혜화로5길
현대,"55,970",2015,10,5,84.92,18,무악동,통일로
인왕산아이파크,"66,000",2015,10,24,84.858,7,무악동,통일로18길
인왕산아이파크,"78,500",2015,10,23,114.931,8,무악동,통일로18길
창신쌍용2,"42,300",2015,10,21,106.62,3,창신동,낙산길
광화문스페이스본(101동~105동),"105,000",2015,10,30,131.44,10,사직동,사직로8길
동대문맨션,"27,315",2015,11,17,83.83,8,창신동,창신길
경희궁파크팰리스,"104,000",2015,11,25,148.09,15,내수동,사직로8길
인왕산아이파크,"65,500",2015,11,26,84.858,3,무악동,통일로18길
창신쌍용2,"31,000",2015,11,21,64.66,14,창신동,낙산길
이화에수풀,"16,700",2015,11,16,16.98,6,연건동,대학로
현대,"59,900",2015,11,12,114.9,10,무악동,통일로
롯데캐슬로잔,"180,000",2015,11,19,238.858,4,평창동,평창문화로
이화에수풀,"17,000",2015,11,25,16.98,6,연건동,대학로
벽산블루밍평창힐스,"88,000",2015,11,30,150.94,3,평창동,평창문화로
종로센트레빌,"42,700",2015,11,28,59.92,11,숭인동,동망산길
인왕산2차아이파크,"63,400",2015,12,22,84.0284,10,무악동,통일로18길
렉스빌,"57,000",2015,12,29,106.98,3,명륜1가,혜화로3가길
동아,"44,600",2015,12,7,84.28,10,교북동,송월길
경희궁파크팰리스,"120,000",2015,12,24,146.33,4,내수동,사직로8길
두산,"50,000",2015,12,24,84.9,4,창신동,지봉로5길
광화문스페이스본(101동~105동),"82,500",2015,12,10,94.51,11,사직동,사직로8길
익성씨티하임,"10,500",2015,12,15,15.76,13,숭인동,난계로29가길
종로센트레빌,"52,300",2015,12,26,84.92,12,숭인동,동망산길
창신쌍용1,"37,300",2015,12,23,79.87,9,창신동,동망산길
창신쌍용1,"42,800",2015,12,22,106.62,12,창신동,동망산길
롯데캐슬로잔,"139,000",2016,2,29,200.331,4,평창동,평창문화로
두산,"56,500",2016,2,21,84.9,17,창신동,지봉로5길
광화문스페이스본(101동~105동),"99,500",2016,2,26,158.99,2,사직동,사직로8길
인왕산아이파크,"72,000",2016,2,14,114.931,5,무악동,통일로18길
삼성,"28,500",2016,2,25,59.97,1,평창동,평창문화로
종로센트레빌,"59,800",2016,2,17,114.67,4,숭인동,동망산길
광화문스페이스본(101동~105동),"83,800",2016,2,29,94.51,8,사직동,사직로8길
MID그린(1동),"23,200",2016,2,15,59.55,4,창신동,창신길
효자,"22,000",2016,2,23,61.49,4,통인동,자하문로
동문상가,"15,800",2016,2,26,42.39,6,창신동,종로44길
신동아블루아광화문의꿈,"92,500",2016,3,11,138.66,11,필운동,사직로
동대문,"21,300",2016,3,31,28.8,3,창신동,지봉로
MID그린(3동),"21,500",2016,3,29,58.88,8,창신동,창신길
두산,"41,000",2016,3,18,59.95,18,창신동,지봉로5길
인왕산2차아이파크,"59,000",2016,3,12,84.2395,4,무악동,통일로18길
광화문스페이스본(106동),"104,000",2016,3,11,150.4,3,사직동,경희궁길
두산,"52,800",2016,3,16,84.9,16,창신동,지봉로5길
브라운스톤창신,"46,000",2016,3,22,84.87,9,창신동,지봉로
창신쌍용1,"38,800",2016,3,11,79.87,12,창신동,동망산길
MID그린(7동),"24,500",2016,3,10,59.04,5,창신동,창신길
롯데낙천대,"64,000",2016,4,30,110.53,2,평창동,평창문화로
창신쌍용2,"34,500",2016,4,26,79.87,7,창신동,낙산길
동아,"38,400",2016,4,21,59.98,5,교북동,송월길
동대문맨션,"43,100",2016,4,19,122.71,9,창신동,창신길
인왕산아이파크,"71,500",2016,4,21,84.858,14,무악동,통일로18길
현대,"59,990",2016,4,16,114.9,2,무악동,통일로
그린,"19,000",2016,4,29,44.6,2,창신동,낙산5길
두산,"52,500",2016,4,20,84.9,16,창신동,지봉로5길
창신이수,"62,500",2016,4,23,120.84,3,창신동,지봉로
삼성,"40,300",2016,4,30,84.98,12,평창동,
일우,"24,800",2016,5,31,59.3,3,창신동,창신길
종로청계힐스테이트,"41,000",2016,5,20,59.9426,1,숭인동,숭인동길
광화문스페이스본(101동~105동),"69,000",2016,5,23,70.8,13,사직동,사직로8길
인왕산아이파크,"60,000",2016,5,21,84.858,6,무악동,통일로18길
창신이수,"45,800",2016,5,28,84.5,6,창신동,지봉로
현대,"37,490",2016,5,19,60,6,무악동,통일로
현대,"55,890",2016,5,14,84.92,13,무악동,통일로
두산,"41,300",2016,5,27,59.95,19,창신동,지봉로5길
인왕산아이파크,"62,900",2016,5,28,84.858,14,무악동,통일로18길
창신쌍용1,"36,000",2016,5,31,79.87,4,창신동,동망산길
일우,"26,000",2016,6,27,59.3,6,창신동,창신길
현대,"52,470",2016,6,24,84.92,3,무악동,통일로
인왕산2차아이파크,"59,000",2016,6,27,84.2395,4,무악동,통일로18길
두산,"42,000",2016,6,27,59.95,15,창신동,지봉로5길
롯데캐슬천지인,"53,000",2016,6,27,84.95,7,숭인동,종로
종로센트레빌,"42,700",2016,6,27,59.92,11,숭인동,동망산길
창신쌍용2,"30,600",2016,6,25,64.66,8,창신동,낙산길
창신쌍용2,"42,500",2016,6,25,106.62,2,창신동,낙산길
창신쌍용1,"39,800",2016,6,23,79.87,10,창신동,동망산길
창신쌍용2,"27,000",2016,6,17,54.7,4,창신동,낙산길
창신쌍용2,"31,000",2016,7,2,64.66,11,창신동,낙산길
현대,"58,990",2016,7,22,84.92,17,무악동,통일로
MID그린(6동),"25,000",2016,7,25,59.04,2,창신동,창신길
유성,"23,000",2016,7,25,59.85,2,창신동,창신7가길
두산,"56,500",2016,7,29,84.9,13,창신동,지봉로5길
현대,"64,450",2016,7,25,114.9,14,무악동,통일로
현대,"49,990",2016,7,9,84.92,1,무악동,통일로
아남2,"81,000",2016,7,11,114.36,5,명륜2가,혜화로3길
(1-102),"19,000",2016,7,30,70.05,1,명륜3가,명륜2길
동성아파트(1동),"23,700",2016,7,4,57.96,4,동숭동,동숭4라길
인왕산아이파크,"59,500",2016,8,31,84.858,1,무악동,통일로18길
경희궁의아침3단지,"130,000",2016,8,31,150.48,7,내수동,사직로8길
운현신화타워,"48,000",2016,8,25,84.91,10,익선동,삼일대로32길
현대,"40,990",2016,8,18,60,12,무악동,통일로
효성쥬얼리시티,"52,500",2016,8,31,84.7,17,인의동,종로
효성쥬얼리시티,"49,500",2016,8,20,84.64,11,인의동,종로
종로청계힐스테이트,"53,000",2016,8,10,84.9478,5,숭인동,숭인동길
롯데캐슬천지인,"65,000",2016,8,27,112.54,15,숭인동,종로
창신쌍용2,"35,000",2016,8,31,79.87,13,창신동,낙산길
종로청계힐스테이트,"43,500",2016,8,14,59.9426,2,숭인동,숭인동길
세종,"43,500",2016,9,28,91.68,2,당주동,세종대로23길
광화문스페이스본(101동~105동),"102,500",2016,9,24,158.99,8,사직동,사직로8길
창신이수,"40,500",2016,9,30,68.06,17,창신동,지봉로
광화문스페이스본(101동~105동),"88,000",2016,9,29,94.51,5,사직동,사직로8길
창신쌍용2,"34,500",2016,9,17,79.87,15,창신동,낙산길
현대,"59,886",2016,9,21,84.92,12,무악동,통일로
인왕산아이파크,"65,000",2016,9,8,84.858,2,무악동,통일로18길
MID그린(5동),"24,500",2016,9,22,59.04,5,창신동,창신길
현대,"66,700",2016,9,13,114.9,3,무악동,통일로
인왕산아이파크,"125,000",2016,9,23,157.289,12,무악동,통일로18길
창신쌍용2,"32,300",2016,10,22,64.66,5,창신동,낙산길
종로센트레빌,"53,000",2016,10,20,84.92,3,숭인동,동망산길
효성쥬얼리시티,"59,000",2016,10,14,92.81,14,인의동,종로
엘리시아,"175,942",2016,10,22,213.07,4,평창동,평창문화로
엘리시아,"159,589",2016,10,22,200.19,4,평창동,평창문화로
엘리시아,"152,416",2016,10,22,206.22,2,평창동,평창문화로
동대문,"25,500",2016,10,15,28.8,5,창신동,지봉로
종로센트레빌,"55,000",2016,10,28,84.92,12,숭인동,동망산길
인왕산아이파크,"55,000",2016,10,22,59.993,2,무악동,통일로18길
숭인모범103동,"25,000",2016,10,20,59.74,5,숭인동,숭인동2길
현대,"57,970",2016,11,29,84.92,10,무악동,통일로
현대,"68,950",2016,11,29,114.9,6,무악동,통일로
현대,"67,950",2016,11,28,114.9,19,무악동,통일로
동성아파트(2동),"25,000",2016,11,26,59.58,4,동숭동,동숭4라길
광화문스페이스본(101동~105동),"107,000",2016,11,21,126.34,11,사직동,사직로8길
인왕산아이파크,"57,500",2016,11,25,59.993,12,무악동,통일로18길
종로청계힐스테이트,"56,500",2016,11,24,84.9478,5,숭인동,숭인동길
삼성,"34,000",2016,11,30,59.97,11,평창동,평창문화로
두산,"44,000",2016,11,30,59.95,13,창신동,지봉로5길
창신쌍용2,"36,700",2016,11,5,79.87,12,창신동,낙산길
경희궁의아침4단지,"125,000",2016,12,30,150.77,5,내수동,새문안로3길
현대,"59,990",2016,12,20,84.92,14,무악동,통일로
이화에수풀,"17,500",2016,12,16,16.98,7,연건동,대학로
현대,"59,650",2016,12,30,84.92,11,무악동,통일로
종로센트레빌,"45,800",2016,12,31,59.92,8,숭인동,동망산길
종로센트레빌,"45,900",2016,12,21,59.92,9,숭인동,동망산길
인왕산아이파크,"85,900",2016,12,30,114.931,13,무악동,통일로18길
현대뜨레비앙,"25,000",2016,12,27,46.64,2,익선동,돈화문로11가길
현대,"59,490",2016,12,23,84.92,8,무악동,통일로
롯데캐슬로잔,"136,000",2016,12,23,191.725,2,평창동,평창문화로
인왕산아이파크,"63,500",2017,2,24,84.858,5,무악동,통일로18길
MID그린(6동),"25,400",2017,2,20,59.04,3,창신동,창신길
인왕산아이파크,"72,000",2017,2,23,84.858,17,무악동,통일로18길
광화문스페이스본(101동~105동),"120,000",2017,2,23,146.92,7,사직동,사직로8길
현대,"59,490",2017,2,20,84.92,12,무악동,통일로
현대,"75,990",2017,2,27,114.9,9,무악동,통일로
삼성,"35,500",2017,2,26,59.97,10,평창동,평창문화로
벽산블루밍평창힐스,"80,000",2017,2,19,150.94,3,평창동,평창문화로
창신쌍용1,"42,500",2017,2,27,79.87,6,창신동,동망산길
종로센트레빌,"46,700",2017,2,25,59.92,11,숭인동,동망산길
동대문,"26,800",2017,3,22,28.8,6,창신동,지봉로
경희궁파크팰리스,"108,000",2017,3,30,148.09,3,내수동,사직로8길
현대,"57,790",2017,3,24,84.92,14,무악동,통일로
현대,"71,490",2017,3,27,114.9,20,무악동,통일로
삼전솔하임4차,"14,000",2017,3,16,15.09,16,숭인동,지봉로4길
삼전솔하임2차,"13,450",2017,3,21,15,10,숭인동,종로58가길
효성쥬얼리시티,"54,000",2017,3,7,92.81,9,인의동,종로
종로센트레빌,"44,000",2017,3,21,59.92,3,숭인동,동망산길
현대,"49,490",2017,3,6,60,6,무악동,통일로
종로센트레빌,"47,700",2017,3,11,59.92,3,숭인동,동망산길
아남2,"49,500",2017,4,3,59.4,2,명륜2가,혜화로3길
두산,"45,000",2017,4,14,59.95,21,창신동,지봉로5길
창신쌍용2,"47,700",2017,4,6,106.62,9,창신동,낙산길
숭인상가,"35,300",2017,4,27,80.85,7,숭인동,청계천로
운현신화타워,"52,000",2017,4,28,84.91,10,익선동,삼일대로32길
효성쥬얼리시티,"60,000",2017,4,22,106.81,8,인의동,종로
현대,"43,890",2017,4,23,60,8,무악동,통일로
광화문스페이스본(101동~105동),"112,000",2017,4,27,108.55,14,사직동,사직로8길
광화문스페이스본(101동~105동),"130,000",2017,4,19,159.01,6,사직동,사직로8길
MID그린(4동),"24,500",2017,4,26,59.55,8,창신동,창신길
경희궁자이(2단지),"104,000",2017,5,11,84.553,9,홍파동,송월길
창신쌍용2,"37,000",2017,5,31,79.87,10,창신동,낙산길
인왕산아이파크,"70,000",2017,5,27,84.858,9,무악동,통일로18길
인왕산2차아이파크,"65,000",2017,5,27,84.2427,2,무악동,통일로18길
인왕산아이파크,"133,000",2017,5,27,157.289,14,무악동,통일로18길
킹스매너,"138,500",2017,5,31,201.82,3,내수동,경희궁2길
광화문스페이스본(101동~105동),"125,000",2017,5,25,158.99,9,사직동,사직로8길
종로청계힐스테이트,"51,800",2017,5,21,59.9426,9,숭인동,숭인동길
종로청계힐스테이트,"60,000",2017,5,17,114.7153,4,숭인동,숭인동길
아남2,"59,900",2017,5,12,84.96,5,명륜2가,혜화로3길
르트랑시망,"70,700",2017,6,29,133.77,5,평창동,평창25길
광화문스페이스본(101동~105동),"113,000",2017,6,26,126.34,7,사직동,사직로8길
창신쌍용2,"33,000",2017,6,21,64.66,13,창신동,낙산길
인왕산아이파크,"110,000",2017,6,27,157.289,5,무악동,통일로18길
세종,"65,500",2017,6,23,104.5,10,당주동,세종대로23길
현대,"51,890",2017,6,19,60,9,무악동,통일로
두산,"52,000",2017,6,20,84.9,12,창신동,지봉로5길
현대,"62,490",2017,6,16,84.92,21,무악동,통일로
아미레스아파트,"53,900",2017,6,19,84.59,4,명륜1가,혜화로5길
현대,"75,490",2017,6,25,114.9,11,무악동,통일로
창신쌍용1,"43,000",2017,7,28,79.87,5,창신동,동망산길
창신쌍용2,"34,500",2017,7,25,64.66,11,창신동,낙산길
인왕산2차아이파크,"65,000",2017,7,25,84.0284,11,무악동,통일로18길
인왕산2차아이파크,"65,500",2017,7,22,84.2395,3,무악동,통일로18길
인왕산2차아이파크,"68,000",2017,7,21,84.0284,13,무악동,통일로18길
